matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic+SIMD, chunk=8",0.138,1014.16,4225.7,0.004,98.45,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic+SIMD, chunk=16",0.074,1899.12,7913.0,0.002,99.17,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Dynamic+SIMD, chunk=32",0.054,2594.98,10812.4,0.001,99.39,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD, chunk=8",0.059,2386.91,9945.5,0.002,99.34,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD, chunk=16",0.055,2539.99,10583.3,0.003,99.38,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD, chunk=32",0.050,2788.80,11620.0,0.002,99.44,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD+Affinity,",0.045,3128.42,13035.1,0.004,99.50,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD+Affinity,",0.045,3099.46,12914.4,0.003,99.49,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD+Affinity,",0.050,2780.21,11584.2,0.002,99.43,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD+Register,",0.051,2741.19,11421.6,0.002,99.43,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Guided+SIMD+Register,",0.054,2583.36,10764.0,0.002,99.39,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD+Register,",0.036,3893.46,16222.8,0.001,99.60,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,18,"Static+SIMD+Register,",0.039,3630.65,15127.7,0.001,99.57,0,""
